               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.055879,           0.0067707,           0.0088879,             0.41961,             0.47138,             0.39463,              0.1381,            0.041632,           0.0062137,            0.012007,           0.0093367,           0.0093367,           0.0093367
                  69,            0.056616,            0.007264,           0.0090941,             0.33031,             0.41992,             0.31209,            0.097956,            0.045594,           0.0061974,            0.012121,           0.0093268,           0.0093268,           0.0093268
                  70,            0.053758,           0.0073317,            0.010722,             0.41577,             0.50406,              0.4096,             0.14557,            0.043023,           0.0065614,            0.010117,           0.0093169,           0.0093169,           0.0093169
                  71,            0.057475,           0.0075308,            0.009462,             0.38277,             0.47641,             0.39571,             0.13899,            0.045862,           0.0064035,           0.0096011,            0.009307,            0.009307,            0.009307
                  72,            0.050043,           0.0067995,           0.0088176,             0.41751,             0.54021,             0.41874,             0.14934,            0.044155,           0.0062976,           0.0092712,           0.0092971,           0.0092971,           0.0092971
                  73,            0.057688,           0.0077471,           0.0093891,             0.40725,             0.46926,             0.41374,             0.14561,            0.041675,           0.0064115,           0.0075705,           0.0092872,           0.0092872,           0.0092872
                  74,            0.054128,           0.0069315,           0.0084544,             0.37006,             0.46984,             0.38088,             0.13872,            0.040294,           0.0065315,           0.0069022,           0.0092773,           0.0092773,           0.0092773
                  75,            0.043811,           0.0064549,           0.0090094,             0.39986,             0.49178,             0.41024,             0.15561,            0.042125,           0.0063808,           0.0070876,           0.0092674,           0.0092674,           0.0092674
                  76,            0.051232,           0.0068741,            0.012329,             0.41506,              0.5118,             0.42765,             0.15719,            0.047193,           0.0059889,           0.0069867,           0.0092575,           0.0092575,           0.0092575
                  77,            0.050764,           0.0064771,            0.010175,               0.428,              0.5053,             0.44156,             0.15986,            0.041089,           0.0062374,           0.0069671,           0.0092476,           0.0092476,           0.0092476
                  78,            0.054225,           0.0066713,           0.0091296,             0.44402,              0.5245,             0.43375,             0.17068,            0.038475,           0.0065043,           0.0072721,           0.0092377,           0.0092377,           0.0092377
                  79,              0.0548,           0.0069121,           0.0087502,             0.32054,             0.47233,             0.37972,             0.14081,            0.040985,           0.0060632,           0.0070213,           0.0092278,           0.0092278,           0.0092278
                  80,             0.05174,           0.0063346,            0.010167,             0.42807,             0.53164,             0.44586,             0.18103,            0.040163,           0.0066127,           0.0072085,           0.0092179,           0.0092179,           0.0092179
                  81,            0.054132,           0.0064222,           0.0083684,             0.27787,              0.4445,             0.30042,             0.11017,            0.044222,           0.0066151,           0.0077985,            0.009208,            0.009208,            0.009208
                  82,            0.050542,           0.0067143,           0.0079869,             0.39433,              0.5199,             0.40801,             0.14942,            0.039996,           0.0064128,           0.0074635,           0.0091981,           0.0091981,           0.0091981
                  83,            0.050473,             0.00708,            0.010477,             0.38102,             0.44778,             0.37886,             0.13787,            0.039772,           0.0064073,           0.0077335,           0.0091882,           0.0091882,           0.0091882
                  84,            0.055223,           0.0071266,           0.0086909,             0.41477,             0.54496,             0.45132,             0.15662,            0.040121,            0.006605,           0.0074054,           0.0091783,           0.0091783,           0.0091783
                  85,            0.050811,           0.0066997,           0.0083412,             0.44133,             0.50227,             0.41131,             0.14941,            0.044476,           0.0069514,            0.011763,           0.0091684,           0.0091684,           0.0091684
                  86,            0.052881,           0.0068597,           0.0087086,             0.36997,             0.43087,             0.35241,              0.1134,             0.05118,           0.0066706,            0.018756,           0.0091585,           0.0091585,           0.0091585
                  87,             0.05908,           0.0064684,           0.0077479,             0.39214,             0.47489,             0.39348,             0.14304,            0.047124,           0.0067547,            0.016147,           0.0091486,           0.0091486,           0.0091486
                  88,            0.054016,           0.0067445,            0.009018,             0.39258,             0.46546,             0.35823,             0.13626,            0.045919,           0.0067453,            0.020376,           0.0091387,           0.0091387,           0.0091387
                  89,            0.047604,           0.0065003,           0.0081939,             0.42063,             0.52688,             0.42267,             0.12941,            0.049567,           0.0061341,            0.012918,           0.0091288,           0.0091288,           0.0091288
                  90,            0.055171,           0.0072587,            0.011143,             0.42601,              0.4834,             0.40432,             0.12568,            0.045981,           0.0062165,            0.017408,           0.0091189,           0.0091189,           0.0091189
                  91,             0.05196,           0.0072646,           0.0087966,             0.39218,             0.50465,              0.3943,             0.13575,            0.046309,           0.0057792,           0.0068511,            0.009109,            0.009109,            0.009109
                  92,            0.058252,           0.0071013,           0.0080769,             0.43336,             0.51608,             0.42089,              0.1344,            0.041717,            0.005877,           0.0064887,           0.0090991,           0.0090991,           0.0090991
                  93,             0.05726,           0.0074567,           0.0083084,             0.38626,             0.52448,             0.42347,             0.16082,            0.041715,           0.0059298,           0.0066892,           0.0090892,           0.0090892,           0.0090892
                  94,            0.055866,             0.00686,           0.0086466,              0.4923,             0.61437,             0.52997,             0.19403,            0.040755,           0.0060326,           0.0064153,           0.0090793,           0.0090793,           0.0090793
                  95,            0.054926,            0.006388,           0.0069826,             0.45189,             0.61367,             0.51896,             0.19642,            0.039817,           0.0059671,           0.0070963,           0.0090694,           0.0090694,           0.0090694
                  96,            0.047182,           0.0062111,           0.0082986,              0.4952,              0.6529,             0.54504,             0.19569,            0.039543,           0.0060006,           0.0069672,           0.0090595,           0.0090595,           0.0090595
                  97,            0.049141,           0.0069808,           0.0076283,             0.52033,             0.63385,             0.55527,             0.20823,             0.04199,           0.0058196,           0.0068387,           0.0090496,           0.0090496,           0.0090496
                  98,              0.0528,           0.0062835,             0.01162,             0.54257,             0.56624,             0.55222,             0.20932,            0.039592,           0.0058786,           0.0065874,           0.0090397,           0.0090397,           0.0090397
                  99,             0.05191,           0.0068536,           0.0071554,             0.51907,             0.61798,             0.55761,             0.19909,             0.04027,           0.0058297,           0.0067865,           0.0090298,           0.0090298,           0.0090298
                 100,            0.055108,           0.0063553,           0.0088621,              0.5703,             0.59103,             0.54804,             0.19806,            0.039712,           0.0057525,           0.0069433,           0.0090199,           0.0090199,           0.0090199
                 101,            0.055483,           0.0065879,           0.0087885,             0.58749,             0.61501,             0.57225,             0.22415,            0.038012,           0.0056994,            0.006642,             0.00901,             0.00901,             0.00901
                 102,             0.04435,           0.0066146,           0.0068366,             0.57643,             0.61687,             0.57772,             0.21708,            0.040818,           0.0056463,            0.006288,           0.0090001,           0.0090001,           0.0090001
                 103,            0.050905,           0.0064061,           0.0078696,             0.54874,             0.58179,             0.54059,             0.20328,            0.037902,           0.0057652,           0.0059304,           0.0089902,           0.0089902,           0.0089902
                 104,            0.047899,           0.0068005,           0.0074431,             0.57577,             0.57639,             0.55301,             0.20502,            0.041728,           0.0056573,           0.0063815,           0.0089803,           0.0089803,           0.0089803
                 105,            0.052346,           0.0073913,           0.0084268,             0.57202,             0.59216,             0.53954,             0.19078,            0.041598,           0.0054466,           0.0060879,           0.0089704,           0.0089704,           0.0089704
                 106,            0.054352,           0.0065282,            0.007962,             0.51464,             0.57597,             0.50234,             0.17604,            0.039067,           0.0055989,           0.0059686,           0.0089605,           0.0089605,           0.0089605
                 107,            0.050547,           0.0065389,           0.0073029,             0.58118,             0.62321,             0.59228,             0.21963,            0.036351,           0.0056232,           0.0061971,           0.0089506,           0.0089506,           0.0089506
                 108,            0.045431,           0.0068726,           0.0071132,             0.55357,             0.61107,              0.5638,             0.18928,            0.038255,           0.0056254,           0.0065355,           0.0089407,           0.0089407,           0.0089407
                 109,            0.045842,           0.0053413,           0.0067769,             0.55082,             0.63548,             0.60582,             0.20262,            0.036994,           0.0056642,           0.0064677,           0.0089308,           0.0089308,           0.0089308
                 110,            0.046794,           0.0058292,           0.0079733,              0.5405,             0.58259,             0.53558,             0.18085,            0.038736,           0.0055993,           0.0056602,           0.0089209,           0.0089209,           0.0089209
                 111,            0.048205,           0.0063822,           0.0061472,             0.55437,             0.56592,             0.54024,             0.17621,             0.03987,           0.0054954,           0.0053267,            0.008911,            0.008911,            0.008911
                 112,            0.051205,           0.0063793,           0.0066567,             0.49235,             0.52581,             0.48695,             0.15049,            0.038836,           0.0055703,           0.0056921,           0.0089011,           0.0089011,           0.0089011
                 113,            0.049247,           0.0065188,           0.0083551,             0.56696,             0.54448,             0.54877,             0.18098,            0.040119,           0.0055191,           0.0059735,           0.0088912,           0.0088912,           0.0088912
                 114,            0.047189,           0.0059817,           0.0070632,             0.51687,             0.55195,             0.51926,             0.18599,            0.039991,           0.0055212,           0.0059875,           0.0088813,           0.0088813,           0.0088813
                 115,            0.047004,           0.0057981,           0.0060291,             0.54225,             0.59894,             0.54082,             0.19359,            0.044845,           0.0053997,           0.0058419,           0.0088714,           0.0088714,           0.0088714
                 116,             0.05161,           0.0058423,           0.0068925,             0.49006,             0.52686,             0.47923,             0.14896,            0.041521,           0.0055923,            0.005883,           0.0088615,           0.0088615,           0.0088615
                 117,            0.044797,           0.0059043,           0.0070422,             0.52386,             0.54926,             0.50427,             0.18892,            0.040379,           0.0055566,           0.0058566,           0.0088516,           0.0088516,           0.0088516
                 118,            0.057855,           0.0072013,            0.007164,              0.5998,             0.60265,             0.60311,             0.23884,            0.040751,           0.0053704,           0.0060535,           0.0088417,           0.0088417,           0.0088417
                 119,            0.054525,           0.0060523,           0.0070051,              0.6269,             0.57418,              0.6174,             0.23807,            0.038381,           0.0054774,           0.0057428,           0.0088318,           0.0088318,           0.0088318
                 120,            0.057045,           0.0058826,            0.008467,             0.61377,             0.66924,             0.64866,             0.25053,            0.035219,           0.0055644,           0.0056107,           0.0088219,           0.0088219,           0.0088219
                 121,            0.050531,           0.0068495,           0.0088219,             0.49688,             0.58655,             0.53594,             0.16801,            0.038334,           0.0055285,           0.0054024,            0.008812,            0.008812,            0.008812
                 122,            0.043381,           0.0064456,            0.006911,             0.56315,             0.59814,               0.591,             0.21063,            0.038756,           0.0054962,           0.0052744,           0.0088021,           0.0088021,           0.0088021
                 123,             0.05297,           0.0064621,           0.0064903,             0.58153,             0.54148,             0.58574,             0.20428,            0.037582,           0.0054987,           0.0051567,           0.0087922,           0.0087922,           0.0087922
                 124,            0.044836,           0.0065736,            0.006079,             0.59568,             0.53053,              0.5617,              0.1782,            0.040054,           0.0055211,           0.0049483,           0.0087823,           0.0087823,           0.0087823
